ID,Name,Price,Brand,Screen Size,RAM,Hard Drive Capacity,Processor Type,Processor Speed,Operating System,Battery Life
2673,"Apple MacBook Pro MC373LL/A Intel Core i7-620M X2 2.66GHz 4GB 500GB DVD 15.4"", Silver (Refurbished)",529.99,Apple,15.4 Inches,4 Gigabytes,500 Gigabytes,Intel Core i7-620M,2.66 Gigahertz,Apple Mac OS X 10.6,8 Hours
2674,"Apple MacBook Pro MD102LL/A 2.9GHz Intel i7 13.3"" Laptop Computer - Scratch and Dent Refurbished",725,Apple,13.3 in,8 GB,750 GB,Intel Core i7,2.9 Hz,Mac OS X 10.7 Lion,7 h
2675,Apple MacBook Air 13.3 Inch Laptop MD508LL/A Grade C (Scratch and Dent Refurbished),449.99,Apple,,,,,,,
2676,"Apple MacBook Pro MGX72LL/A Intel Core i5-4278U X2 2.6GHz 8GB 128GB SSD 13.3"", Silver  (Certified Refurbished - Grade A)",817.52,Apple,13.3 in,8 GB,128 GB,Intel Core i5,2.6 Hz,Apple Mac OS X 10.9,9 h
2677,"Apple Certified Refurbished A Grade Macbook 12-inch (Retina, Rose Gold) 1.1GHz Core m3 (Early 2016) MMGL2LL/A 256 GB SSD 8 GB Memory 2304x1440 Display Mac OS X v10.12 Sierra Power Adapter Included",870.45,Apple,12 in,8 GB,256 GB,Intel Core M3,1.1 GHz,Mac OS,
2678,Refurbished Apple MacBook Pro 15.4 Intel Core i7 2.5GHz 16GB 512GB Laptop MGXC2LL/A,1389.99,Apple,15.4 in,16 GB,512 GB,Intel Core i7,2.5 GHz,May Come Standard with Mac OSX 10.9.4 or higher,
2679,Apple MacBook Pro 15.4-Inch Laptop Intel QuadCore i7 2.6GHz / 16GB DDR3 Memory / 1TB SSHD  (Solid State Hybrid) Drive - Refurbished,1249,Apple,15.4 Inches,16 Gigabytes,"1 TB, 1 TB","22 nm ""Ivy Bridge"" 2.6 GHz Intel ""Core i7""",2.6 Gigahertz,Mac OS,
2680,"Apple Certified Refurbished A Grade Macbook 12-inch (Retina, Space Gray) 1.2GHz Core m5 (Early 2016) MLH82LL/A 512 GB SSD 8 GB Memory 2304x1440 Display Mac OS X v10.12 Sierra Power Adapter Included",933.45,Apple,12 in,8 GB,512 GB,Intel Core M5,1.2 GHz,Mac OS,
2681,"Certified Refurbished Apple Macbook Pro retina 13.3"" i5 2015 [2.7] [128GB] [8GB] MF839LL/A - 90 Day Warranty",1024.32,Apple,13 in,8 GB,128 GB,Intel Core i5,2.7 GHz,OS X 10.10 Yosemite or higher(Upgrades to current OS),10 h
2682,"Apple MacBook Air MD223LL/A 11.6-Inch Laptop (1.3GHz Intel Core i5-3317U Dual-Core, 4GB RAM, 64GB SSD, Wi-Fi, Bluetooth 4.0) (Certified Refurbished)",449.99,Apple,11.6,,,,,,
2683,"Apple MacBook Pro 13.3"" Core 2 Duo 2.4GHz 4GB 250GB DVD?RW w/Webcam & Bluetooth (Mid 2010) - Refurbished",439.99,Apple,"13.3\""",4 GB,250 GB,,,,
2684,Certified Refurbished - Apple MacBook Pro MC700LL/A 13-Inch Laptop - 2.3Ghz Core i5 / 4GB RAM / 320GB,449.95,Apple,13.3 in,4 MB,320 MB,Intel Core i5,2.3 GHz,Apple Mac OS X 10.6,6 h
2685,"Refurbished Apple MacBook Air MD711LL/A Mac Book Laptop Notebook 11.6"" i5 1.3 GHz 4GB 128GB",488.12,Apple,"\\"", 11.6",4 GB,128 GB,,1.3 GHz,Microsoft Windows,
2686,"Apple MacBook 13.3"" Refurbished - A1181 Notebook - Intel Core 2 Duo - 2 GB RAM - 80 gb HDD - DVD-Writer - Nvidia GeForce 9400M - Wifi - Webcam - Mac OS 10.75 Lion",118.99,Apple,13.3,2 GB,,,,Microsoft Windows,
2687,"Manufacturer Refurbished Apple 17"" iMac 1.83GHz Intel Core 2 Duo 2GB RAM 160GB HD - MA710LL/A",199.99,Apple,"17\""",2 GB,160 GB,,,Microsoft Windows,
2688,"Apple MacBook 13.3"" Refurbished - A1181 Notebook - Intel Core 2 Duo - 1 GB RAM - 500 gb HDD - DVD-Writer - Nvidia GeForce 9400M - Wifi - Webcam - Mac OS 10.75 Lion",139.79,Apple,13.3,,500,,,,
2689,"Pre-Owned Apple MacBook Pro 13"" i5 [2.3] [4GB] [320GB] MC700LL/A(2011)",431.76,Apple,13 Inches,,320 Gigabytes,,2.2999999999999998 Gigahertz,,
2690,"Certified Refurbished - Apple Macbook Pro 13"" core 2 duo 2009 [2.53] [250GB] [4GB] MB991LL/A",433.33,Apple,13 in,4 GB,250 GB,Intel Core 2 Duo,2.53 GHz,Mac OS,7 h
2691,Refurbished Apple A Grade MacBook Air 13.3-inch Laptop 1.8GHz Intel Dual Core i5 Unibody(Mid 2012) MD231LL/A 128 GB HD 4 GB Memory 1440 x 900 Display Mac OS X v10.12 Sierra Power Adapter,599.98,Apple,13.30 in,4.00 GB,128.00 GB,Intel Core i5,1.80 GHz,Mac OS,
2692,"Apple MacBook 13.3"" Refurbished - A1181 Notebook - Intel Core 2 Duo - 4 GB RAM - 160 gb HDD - DVD-Writer - Nvidia GeForce 9400M - Wifi - Webcam - Mac OS 10.75 Lion",116.99,Apple,13.3,4 GB,,,,Microsoft Windows,
